MD (ft);Inc (?);Az (?)
0;0;0
159.00;0.57;183.12
254.00;0.62;180.82
347.00;0.61;180.45
441.00;0.95;174.17
535.00;0.83;170.41
629.00;0.80;186.10
723.00;0.43;150.39
817.00;0.20;120.39
910.00;0.08;301.29
1004.00;0.82;321.90
1099.00;1.68;335.10
1193.00;1.85;339.71
1287.00;1.85;339.44
1382.00;2.36;346.26
1476.00;2.62;343.49
1570.00;2.46;346.17
1664.00;3.16;351.56
1758.00;3.49;352.14
1853.00;3.46;1.96
1947.00;3.78;4.66
2041.00;3.68;358.77
2135.00;3.75;17.33
2229.00;3.85;19.82
2323.00;3.98;28.18
2417.00;4.48;46.53
2511.00;4.26;49.50
2605.00;4.40;42.21
2699.00;4.42;52.58
2793.00;4.78;69.08
2887.00;5.24;76.43
2982.00;4.98;74.58
3075.00;4.81;73.65
3170.00;5.65;81.37
3263.00;6.07;80.24
3357.00;6.30;81.32
3451.00;6.52;81.05
3545.00;6.78;79.42
3640.00;6.44;77.57
3734.00;5.79;76.52
3828.00;5.40;77.33
3922.00;4.96;71.84
4017.00;5.45;78.11
4111.00;5.26;90.50
4205.00;5.78;91.50
4300.00;5.63;96.40
4393.00;5.63;97.68
4488.00;6.03;104.28
4582.00;6.40;104.17
4676.00;6.20;100.09
4770.00;6.15;100.50
4864.00;6.74;105.71
4958.00;6.92;109.36
5052.00;7.26;108.18
5146.00;6.87;104.36
5240.00;6.53;102.52
5335.00;6.84;103.81
5453.00;6.26;100.54
5548.00;6.01;99.99
5642.00;5.86;99.45
5736.00;5.32;99.58
5831.00;5.21;98.55
5925.00;6.18;106.10
6019.00;6.13;104.18
6113.00;5.98;103.58
6207.00;5.87;101.43
6301.00;5.55;99.94
6395.00;6.23;103.63
6489.00;6.92;104.77
6584.00;6.75;104.71
6678.00;6.65;103.41
6772.00;6.54;101.05
6866.00;6.66;100.28
6961.00;6.10;112.59
7055.00;5.47;120.03
7148.00;4.47;114.08
7242.00;2.70;110.00
7336.00;0.57;178.41
7430.00;0.83;257.09
7525.00;0.60;271.23
7619.00;0.71;290.99
7713.00;1.02;312.64
7807.00;0.65;234.48
7901.00;0.78;225.75
7995.00;0.56;235.62
8089.00;0.48;236.68
8183.00;0.71;283.48
8277.00;1.09;290.72
8372.00;1.09;125.59
8466.00;2.40;138.26
8560.00;2.16;132.03
8654.00;2.19;125.53
8748.00;1.56;113.53
8842.00;1.52;116.82
8936.00;1.33;111.29
9030.00;1.19;95.69
9124.00;1.10;69.50
9218.00;0.74;69.28
9313.00;0.81;50.56
9407.00;0.57;27.52
9502.00;0.79;4.64
9596.00;0.75;7.94
9690.00;0.81;25.95
9784.00;0.91;41.54
9878.00;0.66;14.77
9973.00;0.66;354.16
10066.00;0.71;6.71
10091.00;0.72;352.31
10185.00;0.88;346.40
10279.00;10.33;316.87
10373.00;20.55;318.45
10467.00;29.33;314.53
10562.00;37.68;309.85
10656.00;47.31;309.67
10750.00;60.81;312.63
10844.00;71.36;313.87
10939.00;85.16;313.65
11033.00;92.92;310.63
11127.00;94.03;312.01
11221.00;93.59;312.27
11315.00;93.15;312.30
11409.00;95.27;312.87
11502.00;94.50;312.72
11596.00;94.00;313.17
11690.00;93.19;313.47
11784.00;92.92;313.16
11878.00;93.62;313.34
11972.00;92.42;312.01
12065.00;93.66;312.60
12160.00;93.02;310.66
12254.00;93.15;310.71
12347.00;93.06;308.67
12441.00;93.52;311.65
12535.00;93.79;313.42
12629.00;93.25;312.12
12723.00;94.80;312.66
12817.00;94.57;313.05
12911.00;93.62;314.14
13004.00;93.99;314.29
13099.00;93.15;313.08
13192.00;93.42;310.84
13286.00;91.98;313.76
13381.00;91.31;318.04
13474.00;94.43;318.45
13568.00;96.02;313.67
13662.00;95.34;310.79
13756.00;95.11;309.61
13850.00;93.89;310.62
13943.00;92.59;311.01
14037.00;91.58;309.83
14131.00;92.49;310.55
14224.00;93.39;310.66
14318.00;94.51;310.58
14412.00;93.53;313.10
14506.00;93.50;313.36
14600.00;93.80;313.63
14694.00;93.60;313.42
14787.00;93.29;312.83
14881.00;94.51;312.70
14976.00;94.37;311.67
15070.00;94.34;310.07
15164.00;93.12;311.40
15257.00;93.70;312.60
15352.00;94.17;311.79
15446.00;93.63;311.12
15540.00;93.36;313.32
15634.00;93.36;312.34
15729.00;93.60;310.90
15823.00;93.46;313.62
15917.00;93.33;314.64
16012.00;93.43;314.71
16105.00;93.39;314.53
16199.00;93.33;314.33
16294.00;92.35;314.12
16388.00;94.24;314.29
16483.00;94.34;314.54
16577.00;94.34;314.16
16671.00;94.07;313.88
16765.00;93.80;313.44
16859.00;93.12;313.58
16952.00;92.99;312.84
17046.00;93.02;312.76
17140.00;93.29;312.91
17234.00;93.56;312.85
17328.00;95.86;312.31
17423.00;96.74;311.66
17517.00;97.04;311.58
17611.00;93.36;312.04
17705.00;95.62;312.36
17799.00;95.57;312.38
17894.00;95.38;311.48
17988.00;96.33;312.60
18082.00;96.22;312.46
18177.00;95.48;312.13
18271.00;94.95;311.85
18286.00;94.64;311.84
18353.00;94.64;311.84
